Member Name,Concept Title,Description,Cluster
TeamWork,Bike Sharing,Bike Sharing,Faster Transportation 
TeamWork,Better Time Management,Some kind of service that helps to layout time and optimize amount of work that can be done before it gets dark,Personal Improvements
TeamWork,Panic Button,Students can hit a button which will alert all authorities in the area of their location and other biometrics in case of emergency,Personal Security
TeamWork,That was easy button,a less violent emergency button which focuses on getting someone to help you in case of emergency but not necessarily rush event,Personal Security
TeamWork,Environment awareness,Generally find a way to help with increasing personal awareness of environments such as maps/locations,Personal Awareness
TeamWork,Activity Awareness,"Generally find a way to help with increasing personal awareness of time, for example, understanding that at 1am the most crimes happen so its not a good idea to leave the library as opposed to leaving at 4am when most people may be asleep",Personal Awareness
TeamWork,Augmented Awareness,A wearable that may have sensing capability to provide user with relevant/useful information even with low visibility during night,Personal Awareness
TeamWork,Ninja Mode,"If a robber can't see someone, they can't rob someone",Personal Improvements
TeamWork,Personal Lighting,Personal Lighting,Personal Security
TeamWork,Rent a dog,Give more communal security by having a friendly dog to walk to your apartment/location. Not only are they cute but they can sense when other people are around/unsafe situations,Communal Security
TeamWork,Drone dog guide,A drone could pre-analyze a route that you input and potentially detect any suspicious activity around the area,Communal Security
TeamWork,Way points,Special posts around campus that may help to guide a student around as well as have sensors  and update the path real time with suspicious circumstances,Personal Awareness
TeamWork,Global Lighting,General issue of figuring out how to bring more light into night time situations. General theme of darkness is equivalent to insecurity/uneasiness during transportation,Communal Security
TeamWork,Promote stronger community,general idea to create a more interconnected community that is more willing to help each other,Communal Security
TeamWork,trend analysis on streets,trend analysis on streets,Communal Security
TeamWork,support personnel on demand,support personnel on demand,Communal Security
TeamWork,route sharing,Students taking similar routes home could match and walk together to help improve safety and confidence,Communal Security
TeamWork,geo-fence authorized users,"Much like how some buildings require keycard access, campus could have a virtual fence that when crossed without authorization triggers some silent alarm",Communal Security
TeamWork,safe zones,safe zones,Communal Security
TeamWork,personal shuttles,"Shuttles that are less based on specific routes, but by detecting student activity hotspots, focus on where students actually are",Communal Security
TeamWork,Underground walkways that are safer,A series of tubes underground that allow for only authorized users to access which would go between common waypoints,Communal Security
TeamWork,Infra-red goggles,Improves personal awareness and visibility at night while not drawing extra attention to the user at night,Personal Awareness
TeamWork,Global Agent-awareness,Having a way to track passively where people are and generate heatmaps for police/municipal services to know physically how many/where people are,Communal Security
